id,ime_kraterja,real_lambda,real_Phi,real_d,x_center_slika,y_center_slika,x_edge_slika,y_edge_slika
1,Albategnius,4.1,-11.2,129,,,,
2,Aristarchus,-47.4,23.7,40,,,,
3,Aristoteles,17.4,50.2,87,,,,
4,Clavius,-14.4,-58.4,231,,,,
5,Copernicus,-20.08,9.62,93,,,,
6,Kepler,-38,8.1,32,,,,
7,Langrenus,60.9,-8.9,132,,,,
8,Longomontanus,-21.7,-49.5,145,,,,
9,Maginus,-6.2,-50,194,,,,
10,Metius,43.3,-40.3,88,,,,
11,Moretus,-5.5,-70.6,114,,,,
12,Petavius,60.4,-25.3,177,,,,
13,Picard,54.72,14.57,22.35,,,,
14,Piccolomini,32.3,-29.7,88,,,,
15,Pitatus,-13.53,-29.88,100.63,,,,
16,Plinus,23.61,15.36,41.31,,,,
17,Rheita,47.2,37.1,70,,,,
18,Russell,-75.4,26.5,103,,,,
19,Schickard,-55.1,-44.4,212,,,,
20,Seleucus,-66.6,21,61,,,,
21,Stöfler,6,41.1,126,,,,
22,Thebit,-4,-22,57,,,,
23,Theophilus,26.4,-11.4,100,,,,
24,Tycho,-11.36,-43.31,85,,,,
25,Vendelinus,61.55,-16.46,147,,,,
26,Wargentin,-60.2,-49.6,84,,,,
